statut_juridique,secteur_activite,taille,region,montant_financement
Coopérative,Agriculture,PME,Fès-Meknès,110329
Auto-entrepreneur,Tech,TPE,Casablanca-Settat,67728
Coopérative,Agriculture,PME,Autre,86047
Coopérative,Artisanat,PME,Fès-Meknès,102960
Auto-entrepreneur,Tourisme,TPE,Rabat-Salé-Kénitra,44692
Auto-entrepreneur,Commerce,TPE,Autre,27377
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,245166
Personne physique,Artisanat,Start-up,Tanger-Tétouan,146789
Auto-entrepreneur,Tourisme,TPE,Autre,26642
Personne physique,Tourisme,TPE,Fès-Meknès,36410
Personne physique,Artisanat,TPE,Autre,25928
Personne physique,Industrie,PME,Tanger-Tétouan,204841
Auto-entrepreneur,Tourisme,PME,Marrakech-Safi,88951
Personne physique,Tech,PME,Rabat-Salé-Kénitra,200361
Auto-entrepreneur,Tech,TPE,Tanger-Tétouan,47124
Personne physique,Tourisme,Start-up,Marrakech-Safi,206588
Coopérative,Industrie,TPE,Autre,40640
Coopérative,Commerce,PME,Autre,110215
Auto-entrepreneur,Artisanat,PME,Tanger-Tétouan,71680
Coopérative,Tech,TPE,Fès-Meknès,68273
Coopérative,Commerce,TPE,Autre,38793
Personne physique,Tourisme,PME,Fès-Meknès,103301
Auto-entrepreneur,Commerce,PME,Fès-Meknès,112238
Personne physique,Agriculture,PME,Fès-Meknès,92520
Personne physique,Tech,TPE,Casablanca-Settat,68981
Personne physique,Tourisme,PME,Marrakech-Safi,109749
Personne physique,Artisanat,PME,Marrakech-Safi,98105
Personne physique,Industrie,Start-up,Autre,271498
Personne physique,Tourisme,TPE,Autre,45306
Personne physique,Artisanat,Start-up,Fès-Meknès,155476
Auto-entrepreneur,Industrie,Start-up,Casablanca-Settat,285700
Coopérative,Industrie,PME,Fès-Meknès,134663
Personne physique,Tourisme,TPE,Casablanca-Settat,54462
Personne physique,Commerce,PME,Fès-Meknès,108334
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,38262
Personne physique,Industrie,Start-up,Rabat-Salé-Kénitra,275362
Personne physique,Commerce,TPE,Tanger-Tétouan,37095
Personne physique,Agriculture,PME,Fès-Meknès,114587
Coopérative,Industrie,PME,Autre,165909
Coopérative,Industrie,PME,Marrakech-Safi,134758
Personne physique,Artisanat,TPE,Tanger-Tétouan,37897
Coopérative,Commerce,Start-up,Autre,182752
Auto-entrepreneur,Industrie,Start-up,Rabat-Salé-Kénitra,289550
Personne physique,Agriculture,TPE,Fès-Meknès,34111
Auto-entrepreneur,Artisanat,PME,Tanger-Tétouan,82324
Auto-entrepreneur,Tourisme,Start-up,Fès-Meknès,200127
Personne physique,Industrie,PME,Rabat-Salé-Kénitra,201096
Coopérative,Agriculture,TPE,Tanger-Tétouan,34398
Auto-entrepreneur,Tech,PME,Rabat-Salé-Kénitra,150392
Personne physique,Agriculture,Start-up,Casablanca-Settat,199099
Auto-entrepreneur,Agriculture,Start-up,Rabat-Salé-Kénitra,173458
Auto-entrepreneur,Artisanat,PME,Fès-Meknès,86764
Auto-entrepreneur,Tourisme,TPE,Marrakech-Safi,30592
Auto-entrepreneur,Tech,PME,Rabat-Salé-Kénitra,183428
Coopérative,Commerce,TPE,Autre,35118
Auto-entrepreneur,Commerce,PME,Marrakech-Safi,102569
Auto-entrepreneur,Agriculture,Start-up,Casablanca-Settat,189385
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,31779
Coopérative,Artisanat,TPE,Tanger-Tétouan,29270
Auto-entrepreneur,Commerce,TPE,Marrakech-Safi,39291
Auto-entrepreneur,Tech,Start-up,Tanger-Tétouan,241991
Coopérative,Tourisme,PME,Rabat-Salé-Kénitra,110889
Coopérative,Tech,Start-up,Marrakech-Safi,285613
Coopérative,Industrie,TPE,Fès-Meknès,43493
Auto-entrepreneur,Industrie,PME,Rabat-Salé-Kénitra,134890
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,179150
Coopérative,Commerce,TPE,Rabat-Salé-Kénitra,45331
Auto-entrepreneur,Tourisme,TPE,Fès-Meknès,29261
Coopérative,Artisanat,Start-up,Casablanca-Settat,190388
Auto-entrepreneur,Industrie,Start-up,Autre,176940
Personne physique,Agriculture,Start-up,Tanger-Tétouan,235882
Coopérative,Agriculture,TPE,Marrakech-Safi,39041
Personne physique,Commerce,Start-up,Casablanca-Settat,187635
Auto-entrepreneur,Artisanat,TPE,Marrakech-Safi,30955
Coopérative,Tech,Start-up,Tanger-Tétouan,316774
Auto-entrepreneur,Artisanat,TPE,Fès-Meknès,29572
Personne physique,Agriculture,TPE,Rabat-Salé-Kénitra,42378
Auto-entrepreneur,Agriculture,PME,Rabat-Salé-Kénitra,106486
Coopérative,Industrie,Start-up,Fès-Meknès,285878
Coopérative,Artisanat,Start-up,Casablanca-Settat,166674
Personne physique,Artisanat,TPE,Casablanca-Settat,30842
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,36479
Coopérative,Tech,TPE,Fès-Meknès,56999
Personne physique,Commerce,PME,Casablanca-Settat,140028
Coopérative,Commerce,PME,Fès-Meknès,87549
Coopérative,Artisanat,TPE,Tanger-Tétouan,31400
Auto-entrepreneur,Commerce,Start-up,Rabat-Salé-Kénitra,213235
Coopérative,Agriculture,Start-up,Rabat-Salé-Kénitra,172237
Auto-entrepreneur,Agriculture,PME,Rabat-Salé-Kénitra,96583
Coopérative,Artisanat,PME,Fès-Meknès,96497
Personne physique,Artisanat,TPE,Fès-Meknès,37437
Coopérative,Industrie,Start-up,Marrakech-Safi,261078
Auto-entrepreneur,Artisanat,TPE,Rabat-Salé-Kénitra,27162
Auto-entrepreneur,Tech,PME,Marrakech-Safi,197422
Personne physique,Commerce,Start-up,Rabat-Salé-Kénitra,238935
Coopérative,Artisanat,Start-up,Marrakech-Safi,133498
Coopérative,Tourisme,PME,Marrakech-Safi,100550
Personne physique,Industrie,TPE,Tanger-Tétouan,59605
Coopérative,Tourisme,TPE,Marrakech-Safi,35965
Coopérative,Agriculture,Start-up,Fès-Meknès,154173
Auto-entrepreneur,Commerce,PME,Marrakech-Safi,117410
Coopérative,Artisanat,Start-up,Rabat-Salé-Kénitra,138225
Coopérative,Tourisme,PME,Marrakech-Safi,131967
Personne physique,Commerce,TPE,Casablanca-Settat,42470
Personne physique,Agriculture,PME,Autre,119246
Auto-entrepreneur,Tech,TPE,Rabat-Salé-Kénitra,64031
Coopérative,Industrie,PME,Casablanca-Settat,143087
Coopérative,Commerce,Start-up,Rabat-Salé-Kénitra,201546
Coopérative,Commerce,TPE,Fès-Meknès,31095
Auto-entrepreneur,Tech,Start-up,Autre,288916
Auto-entrepreneur,Commerce,Start-up,Autre,175741
Personne physique,Agriculture,TPE,Fès-Meknès,36759
Auto-entrepreneur,Agriculture,TPE,Autre,28159
Coopérative,Tech,Start-up,Fès-Meknès,275703
Coopérative,Industrie,Start-up,Casablanca-Settat,322733
Auto-entrepreneur,Artisanat,Start-up,Tanger-Tétouan,132085
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,192876
Coopérative,Artisanat,TPE,Fès-Meknès,29114
Auto-entrepreneur,Commerce,TPE,Rabat-Salé-Kénitra,29866
Auto-entrepreneur,Tourisme,Start-up,Casablanca-Settat,217531
Coopérative,Tech,PME,Tanger-Tétouan,152152
Coopérative,Tech,PME,Casablanca-Settat,219915
Coopérative,Industrie,TPE,Autre,42435
Personne physique,Tourisme,Start-up,Rabat-Salé-Kénitra,210962
Personne physique,Agriculture,Start-up,Tanger-Tétouan,210851
Personne physique,Tourisme,TPE,Autre,48486
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,113331
Personne physique,Agriculture,PME,Autre,96156
Auto-entrepreneur,Tech,PME,Casablanca-Settat,160852
Auto-entrepreneur,Tourisme,TPE,Fès-Meknès,39210
Personne physique,Artisanat,PME,Rabat-Salé-Kénitra,107789
Personne physique,Industrie,TPE,Marrakech-Safi,51289
Personne physique,Artisanat,TPE,Marrakech-Safi,40071
Coopérative,Industrie,Start-up,Casablanca-Settat,334552
Personne physique,Commerce,PME,Rabat-Salé-Kénitra,159788
Coopérative,Artisanat,TPE,Rabat-Salé-Kénitra,38496
Auto-entrepreneur,Tourisme,PME,Casablanca-Settat,135517
Coopérative,Tourisme,PME,Rabat-Salé-Kénitra,104743
Personne physique,Artisanat,Start-up,Fès-Meknès,139944
Auto-entrepreneur,Tourisme,PME,Casablanca-Settat,122078
Auto-entrepreneur,Commerce,Start-up,Fès-Meknès,163534
Auto-entrepreneur,Agriculture,TPE,Rabat-Salé-Kénitra,33035
Coopérative,Commerce,PME,Casablanca-Settat,121014
Personne physique,Industrie,TPE,Rabat-Salé-Kénitra,61267
Auto-entrepreneur,Commerce,PME,Casablanca-Settat,115310
Auto-entrepreneur,Industrie,TPE,Rabat-Salé-Kénitra,40362
Auto-entrepreneur,Tourisme,PME,Fès-Meknès,92779
Coopérative,Agriculture,PME,Fès-Meknès,103350
Coopérative,Tourisme,PME,Rabat-Salé-Kénitra,138915
Personne physique,Tech,PME,Casablanca-Settat,200892
Coopérative,Tourisme,PME,Marrakech-Safi,123778
Auto-entrepreneur,Industrie,PME,Fès-Meknès,148535
Personne physique,Tourisme,PME,Fès-Meknès,125409
Auto-entrepreneur,Tourisme,PME,Autre,78813
Auto-entrepreneur,Agriculture,PME,Marrakech-Safi,94052
Coopérative,Tourisme,TPE,Rabat-Salé-Kénitra,39063
Personne physique,Agriculture,Start-up,Casablanca-Settat,257809
Coopérative,Artisanat,PME,Autre,72279
Coopérative,Tech,Start-up,Rabat-Salé-Kénitra,350923
Personne physique,Agriculture,PME,Tanger-Tétouan,98531
Auto-entrepreneur,Industrie,PME,Fès-Meknès,133854
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,28605
Personne physique,Agriculture,TPE,Fès-Meknès,34929
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,149269
Personne physique,Tech,TPE,Tanger-Tétouan,60580
Personne physique,Industrie,TPE,Tanger-Tétouan,55299
Coopérative,Commerce,Start-up,Rabat-Salé-Kénitra,210540
Personne physique,Commerce,TPE,Autre,35218
Coopérative,Agriculture,PME,Autre,112742
Auto-entrepreneur,Tourisme,Start-up,Tanger-Tétouan,189245
Auto-entrepreneur,Industrie,Start-up,Rabat-Salé-Kénitra,245816
Auto-entrepreneur,Artisanat,PME,Autre,61652
Auto-entrepreneur,Tourisme,TPE,Rabat-Salé-Kénitra,37793
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,235144
Auto-entrepreneur,Industrie,Start-up,Fès-Meknès,206619
Personne physique,Agriculture,PME,Autre,121253
Personne physique,Agriculture,PME,Autre,97278
Personne physique,Agriculture,TPE,Fès-Meknès,42921
Coopérative,Agriculture,Start-up,Tanger-Tétouan,150139
Auto-entrepreneur,Commerce,TPE,Fès-Meknès,37031
Auto-entrepreneur,Agriculture,TPE,Autre,28791
Auto-entrepreneur,Commerce,PME,Autre,84329
Coopérative,Commerce,Start-up,Tanger-Tétouan,173281
Personne physique,Agriculture,Start-up,Fès-Meknès,184833
Personne physique,Tech,Start-up,Casablanca-Settat,461854
Auto-entrepreneur,Artisanat,PME,Casablanca-Settat,82063
Personne physique,Tourisme,PME,Tanger-Tétouan,113574
Personne physique,Commerce,PME,Fès-Meknès,125245
Coopérative,Industrie,PME,Fès-Meknès,153195
Coopérative,Industrie,PME,Rabat-Salé-Kénitra,171746
Coopérative,Artisanat,Start-up,Autre,151215
Coopérative,Industrie,TPE,Marrakech-Safi,48970
Auto-entrepreneur,Tech,Start-up,Tanger-Tétouan,325994
Coopérative,Industrie,TPE,Marrakech-Safi,52611
Personne physique,Tourisme,PME,Marrakech-Safi,114971
Auto-entrepreneur,Tourisme,TPE,Tanger-Tétouan,39489
Personne physique,Commerce,Start-up,Fès-Meknès,213431
Personne physique,Agriculture,Start-up,Tanger-Tétouan,185259
Personne physique,Tech,TPE,Marrakech-Safi,73403
Coopérative,Commerce,PME,Autre,91702
Coopérative,Tech,PME,Autre,166347
Auto-entrepreneur,Agriculture,Start-up,Autre,167006
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,38916
Coopérative,Industrie,PME,Casablanca-Settat,170124
Personne physique,Agriculture,PME,Tanger-Tétouan,135415
Auto-entrepreneur,Commerce,Start-up,Autre,181733
Coopérative,Agriculture,PME,Tanger-Tétouan,106010
Coopérative,Artisanat,TPE,Autre,28429
Coopérative,Tourisme,Start-up,Fès-Meknès,197929
Personne physique,Commerce,Start-up,Casablanca-Settat,274175
Coopérative,Tech,TPE,Casablanca-Settat,79229
Coopérative,Artisanat,Start-up,Autre,123073
Coopérative,Commerce,PME,Fès-Meknès,106255
Coopérative,Agriculture,PME,Rabat-Salé-Kénitra,111767
Auto-entrepreneur,Agriculture,TPE,Tanger-Tétouan,35700
Auto-entrepreneur,Agriculture,PME,Tanger-Tétouan,99951
Coopérative,Agriculture,TPE,Marrakech-Safi,38221
Personne physique,Tech,TPE,Fès-Meknès,79752
Auto-entrepreneur,Artisanat,PME,Marrakech-Safi,69719
Coopérative,Industrie,TPE,Autre,43215
Auto-entrepreneur,Tourisme,PME,Marrakech-Safi,104021
Auto-entrepreneur,Tech,Start-up,Casablanca-Settat,289247
Personne physique,Tech,Start-up,Tanger-Tétouan,283030
Coopérative,Industrie,TPE,Marrakech-Safi,45182
Coopérative,Industrie,PME,Casablanca-Settat,191098
Personne physique,Tourisme,PME,Fès-Meknès,147709
Personne physique,Tourisme,Start-up,Marrakech-Safi,226280
Coopérative,Industrie,Start-up,Autre,246809
Coopérative,Agriculture,PME,Autre,87678
Personne physique,Tech,TPE,Autre,69750
Auto-entrepreneur,Commerce,Start-up,Tanger-Tétouan,187122
Auto-entrepreneur,Tourisme,TPE,Marrakech-Safi,37272
Personne physique,Tourisme,TPE,Fès-Meknès,37837
Auto-entrepreneur,Industrie,Start-up,Marrakech-Safi,201314
Personne physique,Artisanat,TPE,Tanger-Tétouan,28899
Auto-entrepreneur,Commerce,TPE,Casablanca-Settat,38787
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,115261
Coopérative,Tourisme,TPE,Autre,41674
Coopérative,Agriculture,PME,Casablanca-Settat,117071
Auto-entrepreneur,Artisanat,Start-up,Autre,140327
Auto-entrepreneur,Commerce,Start-up,Rabat-Salé-Kénitra,210407
Coopérative,Tourisme,PME,Tanger-Tétouan,110573
Coopérative,Commerce,Start-up,Tanger-Tétouan,183444
Coopérative,Artisanat,TPE,Fès-Meknès,35090
Personne physique,Artisanat,TPE,Marrakech-Safi,32735
Auto-entrepreneur,Tech,TPE,Casablanca-Settat,71798
Coopérative,Industrie,Start-up,Casablanca-Settat,354148
Auto-entrepreneur,Industrie,TPE,Fès-Meknès,48551
Personne physique,Tourisme,Start-up,Fès-Meknès,240844
Personne physique,Artisanat,TPE,Marrakech-Safi,38494
Coopérative,Tech,PME,Autre,183676
Personne physique,Tech,Start-up,Marrakech-Safi,322970
Auto-entrepreneur,Commerce,Start-up,Tanger-Tétouan,139882
Coopérative,Commerce,TPE,Autre,32264
Auto-entrepreneur,Tech,Start-up,Rabat-Salé-Kénitra,313632
Auto-entrepreneur,Commerce,Start-up,Marrakech-Safi,142972
Personne physique,Artisanat,PME,Fès-Meknès,80276
Personne physique,Agriculture,PME,Autre,92435
Personne physique,Artisanat,TPE,Marrakech-Safi,38020
Personne physique,Tech,PME,Casablanca-Settat,274686
Personne physique,Tech,TPE,Rabat-Salé-Kénitra,87702
Coopérative,Artisanat,TPE,Tanger-Tétouan,31424
Auto-entrepreneur,Commerce,TPE,Casablanca-Settat,42926
Auto-entrepreneur,Commerce,Start-up,Casablanca-Settat,204715
Auto-entrepreneur,Industrie,PME,Rabat-Salé-Kénitra,151263
Auto-entrepreneur,Tech,TPE,Tanger-Tétouan,57630
Personne physique,Tourisme,PME,Fès-Meknès,109640
Auto-entrepreneur,Industrie,TPE,Autre,50763
Coopérative,Commerce,PME,Tanger-Tétouan,107954
Coopérative,Artisanat,PME,Marrakech-Safi,92464
Auto-entrepreneur,Commerce,TPE,Casablanca-Settat,39968
Auto-entrepreneur,Artisanat,Start-up,Marrakech-Safi,130699
Coopérative,Industrie,PME,Fès-Meknès,138772
Coopérative,Tech,Start-up,Marrakech-Safi,331512
Personne physique,Commerce,Start-up,Tanger-Tétouan,172124
Coopérative,Artisanat,TPE,Marrakech-Safi,34281
Personne physique,Tech,TPE,Fès-Meknès,66873
Personne physique,Tourisme,TPE,Fès-Meknès,44558
Personne physique,Artisanat,PME,Fès-Meknès,105012
Personne physique,Industrie,TPE,Tanger-Tétouan,60649
Personne physique,Tourisme,TPE,Fès-Meknès,44161
Auto-entrepreneur,Tourisme,PME,Casablanca-Settat,127534
Coopérative,Agriculture,PME,Fès-Meknès,112988
Personne physique,Commerce,TPE,Marrakech-Safi,46367
Coopérative,Artisanat,TPE,Autre,32541
Coopérative,Tourisme,TPE,Marrakech-Safi,35469
Personne physique,Agriculture,TPE,Autre,34577
Auto-entrepreneur,Industrie,Start-up,Marrakech-Safi,282988
Personne physique,Tech,Start-up,Tanger-Tétouan,335523
Auto-entrepreneur,Artisanat,TPE,Marrakech-Safi,23799
Coopérative,Tourisme,Start-up,Tanger-Tétouan,204561
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,86067
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,133933
Auto-entrepreneur,Tourisme,Start-up,Casablanca-Settat,237467
Coopérative,Commerce,TPE,Autre,34995
Coopérative,Tourisme,Start-up,Fès-Meknès,175758
Auto-entrepreneur,Artisanat,Start-up,Fès-Meknès,159322
Auto-entrepreneur,Artisanat,Start-up,Tanger-Tétouan,166127
Personne physique,Artisanat,Start-up,Tanger-Tétouan,170852
Auto-entrepreneur,Industrie,PME,Autre,117179
Personne physique,Industrie,TPE,Marrakech-Safi,68122
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,34760
Personne physique,Artisanat,PME,Fès-Meknès,107209
Coopérative,Commerce,Start-up,Rabat-Salé-Kénitra,232389
Auto-entrepreneur,Tourisme,PME,Rabat-Salé-Kénitra,121992
Auto-entrepreneur,Tech,Start-up,Marrakech-Safi,255785
Auto-entrepreneur,Commerce,PME,Rabat-Salé-Kénitra,115405
Auto-entrepreneur,Industrie,TPE,Marrakech-Safi,44272
Personne physique,Industrie,TPE,Tanger-Tétouan,66222
Auto-entrepreneur,Commerce,TPE,Fès-Meknès,33847
Coopérative,Industrie,Start-up,Casablanca-Settat,246796
Coopérative,Artisanat,Start-up,Fès-Meknès,150393
Auto-entrepreneur,Agriculture,PME,Marrakech-Safi,89983
Coopérative,Tourisme,PME,Marrakech-Safi,113169
Auto-entrepreneur,Agriculture,TPE,Fès-Meknès,31643
Auto-entrepreneur,Tourisme,Start-up,Autre,150487
Coopérative,Tourisme,PME,Marrakech-Safi,134957
Auto-entrepreneur,Agriculture,Start-up,Rabat-Salé-Kénitra,139157
Coopérative,Commerce,Start-up,Rabat-Salé-Kénitra,213696
Personne physique,Tourisme,TPE,Marrakech-Safi,50566
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,34212
Personne physique,Tourisme,Start-up,Autre,202276
Coopérative,Tech,Start-up,Rabat-Salé-Kénitra,390326
Personne physique,Commerce,Start-up,Marrakech-Safi,195495
Personne physique,Artisanat,Start-up,Marrakech-Safi,141342
Coopérative,Tourisme,TPE,Autre,35458
Personne physique,Tech,PME,Autre,153696
Personne physique,Artisanat,TPE,Fès-Meknès,39287
Coopérative,Artisanat,PME,Autre,75181
Personne physique,Tourisme,Start-up,Casablanca-Settat,276104
Coopérative,Agriculture,PME,Rabat-Salé-Kénitra,125855
Personne physique,Tourisme,TPE,Fès-Meknès,37923
Coopérative,Tech,TPE,Casablanca-Settat,72660
Coopérative,Artisanat,Start-up,Marrakech-Safi,129029
Personne physique,Tourisme,TPE,Marrakech-Safi,44704
Personne physique,Agriculture,Start-up,Fès-Meknès,153113
Personne physique,Tourisme,TPE,Autre,47323
Auto-entrepreneur,Commerce,TPE,Marrakech-Safi,40475
Auto-entrepreneur,Agriculture,Start-up,Tanger-Tétouan,142226
Auto-entrepreneur,Tech,PME,Fès-Meknès,140965
Coopérative,Artisanat,TPE,Casablanca-Settat,38167
Personne physique,Tourisme,PME,Fès-Meknès,115598
Coopérative,Agriculture,TPE,Rabat-Salé-Kénitra,43774
Auto-entrepreneur,Commerce,TPE,Autre,31505
Personne physique,Agriculture,TPE,Autre,33851
Coopérative,Industrie,TPE,Fès-Meknès,58127
Personne physique,Commerce,PME,Marrakech-Safi,127164
Coopérative,Tech,PME,Marrakech-Safi,220119
Personne physique,Artisanat,TPE,Tanger-Tétouan,40992
Auto-entrepreneur,Tech,TPE,Tanger-Tétouan,48505
Auto-entrepreneur,Tourisme,PME,Autre,77850
Personne physique,Agriculture,Start-up,Tanger-Tétouan,238714
Coopérative,Industrie,Start-up,Casablanca-Settat,345249
Auto-entrepreneur,Commerce,PME,Tanger-Tétouan,83862
Auto-entrepreneur,Commerce,TPE,Casablanca-Settat,42382
Auto-entrepreneur,Agriculture,TPE,Tanger-Tétouan,31460
Personne physique,Industrie,Start-up,Autre,243968
Personne physique,Agriculture,Start-up,Autre,207270
Coopérative,Tourisme,PME,Casablanca-Settat,117434
Coopérative,Tech,Start-up,Fès-Meknès,352792
Coopérative,Commerce,PME,Autre,91114
Personne physique,Tourisme,Start-up,Fès-Meknès,223470
Personne physique,Tech,Start-up,Marrakech-Safi,311232
Coopérative,Tourisme,Start-up,Casablanca-Settat,226819
Coopérative,Industrie,TPE,Autre,52176
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,39096
Coopérative,Agriculture,TPE,Marrakech-Safi,36301
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,150119
Personne physique,Tech,PME,Autre,156570
Coopérative,Artisanat,PME,Casablanca-Settat,117185
Personne physique,Industrie,PME,Tanger-Tétouan,168169
Auto-entrepreneur,Tech,PME,Rabat-Salé-Kénitra,181663
Personne physique,Artisanat,TPE,Fès-Meknès,33447
Personne physique,Tourisme,TPE,Marrakech-Safi,45239
Personne physique,Industrie,Start-up,Casablanca-Settat,278153
Personne physique,Tourisme,Start-up,Rabat-Salé-Kénitra,229019
Auto-entrepreneur,Commerce,PME,Casablanca-Settat,110062
Personne physique,Industrie,TPE,Autre,59047
Personne physique,Artisanat,PME,Tanger-Tétouan,119281
Coopérative,Commerce,Start-up,Marrakech-Safi,194691
Personne physique,Agriculture,Start-up,Casablanca-Settat,183637
Coopérative,Artisanat,PME,Fès-Meknès,80325
Auto-entrepreneur,Tech,Start-up,Autre,218225
Auto-entrepreneur,Agriculture,PME,Autre,73427
Auto-entrepreneur,Agriculture,TPE,Marrakech-Safi,30284
Auto-entrepreneur,Tech,PME,Autre,134834
Coopérative,Industrie,TPE,Fès-Meknès,45520
Personne physique,Agriculture,TPE,Casablanca-Settat,36163
Auto-entrepreneur,Artisanat,Start-up,Marrakech-Safi,112990
Personne physique,Commerce,Start-up,Autre,160862
Coopérative,Agriculture,Start-up,Autre,140758
Coopérative,Artisanat,PME,Fès-Meknès,87297
Coopérative,Tourisme,PME,Tanger-Tétouan,122011
Auto-entrepreneur,Artisanat,Start-up,Tanger-Tétouan,119873
Personne physique,Commerce,PME,Autre,111298
Personne physique,Artisanat,Start-up,Casablanca-Settat,180315
Personne physique,Tech,PME,Marrakech-Safi,183408
Coopérative,Commerce,TPE,Autre,27634
Auto-entrepreneur,Industrie,TPE,Rabat-Salé-Kénitra,49735
Coopérative,Tourisme,Start-up,Marrakech-Safi,217538
Coopérative,Tech,PME,Tanger-Tétouan,168307
Personne physique,Industrie,PME,Autre,138141
Coopérative,Artisanat,TPE,Fès-Meknès,34558
Personne physique,Commerce,TPE,Rabat-Salé-Kénitra,40609
Auto-entrepreneur,Tourisme,Start-up,Autre,144090
Personne physique,Tech,TPE,Casablanca-Settat,87999
Auto-entrepreneur,Industrie,Start-up,Rabat-Salé-Kénitra,283964
Personne physique,Industrie,TPE,Autre,52884
Coopérative,Tourisme,TPE,Casablanca-Settat,44358
Coopérative,Artisanat,PME,Rabat-Salé-Kénitra,88022
Auto-entrepreneur,Tourisme,TPE,Casablanca-Settat,32920
Auto-entrepreneur,Industrie,TPE,Casablanca-Settat,54351
Auto-entrepreneur,Agriculture,Start-up,Rabat-Salé-Kénitra,141009
Personne physique,Tech,TPE,Rabat-Salé-Kénitra,72009
Personne physique,Tourisme,Start-up,Casablanca-Settat,291109
Auto-entrepreneur,Industrie,TPE,Tanger-Tétouan,56694
Coopérative,Artisanat,TPE,Rabat-Salé-Kénitra,29626
Personne physique,Industrie,Start-up,Autre,283404
Personne physique,Artisanat,PME,Marrakech-Safi,103911
Personne physique,Tourisme,Start-up,Fès-Meknès,245871
Auto-entrepreneur,Artisanat,Start-up,Casablanca-Settat,139920
Auto-entrepreneur,Commerce,Start-up,Casablanca-Settat,149877
Auto-entrepreneur,Commerce,PME,Fès-Meknès,83821
Auto-entrepreneur,Commerce,TPE,Tanger-Tétouan,31954
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,140796
Coopérative,Tourisme,Start-up,Rabat-Salé-Kénitra,237405
Coopérative,Industrie,PME,Fès-Meknès,165015
Auto-entrepreneur,Industrie,Start-up,Casablanca-Settat,242833
Personne physique,Agriculture,TPE,Fès-Meknès,37358
Auto-entrepreneur,Artisanat,PME,Marrakech-Safi,70411
